POST_C;PLANT_C;INDUS_TYPE;CAI;LPC;CGL_C;YEAR_MONTH;PROD_QT;CREATION_DT;UPDATE_DT;MATERIAL_C
KM;VIT;MC;275683;A;K275683A002;201708;5520;05/11/2020 10:49;;ML_D
KM;CNO;MC;380566;A;K380566A034;201712;12223;05/11/2020 10:49;;ML_D
KM;CHO;MC;768085;A;K768085A012;201711;2497;05/11/2020 10:49;;ML_D
KM;VIT;MC;512212;A;K512212A002;201704;2537;05/11/2020 10:49;;ML_D
KM;CNO;MC;380566;A;K380566A029;201711;14768;05/11/2020 10:49;;ML_D
KM;CNO;MI;380566;A;R380566A004;201711;0;05/11/2020 10:49;;ML_D
KM;CNO;MI;557842;A;R557842A003;201711;9;05/11/2020 10:49;;ML_B
KM;OLS;MC;772146;B;K772146B003;201712;0;05/11/2020 10:49;;ML_D
KM;CX2;;318588;-;E06438AF;201401;26;05/11/2020 10:49;;ML_B
KM2;BKR;MC;782557;D;K782557D008;202302;763;04/02/2023 23:07;04/03/2023 23:12;ML_C
KM;SY2;MC;352797;G;K352797G001;202204;4667;16/04/2022 22:20;28/05/2022 22:30;ML_C
KM;BKR;EL;9341;A;E408950B003;201608;104;05/11/2020 10:49;;ML_A
KM;CNO;EL;460608;A;E602456B001;202302;31;04/02/2023 23:07;04/03/2023 23:12;ML_D
KM;CNO;EL;460608;A;E602456C002;202302;33;04/02/2023 23:07;04/03/2023 23:12;ML_D
KM;CNO;EL;460608;A;E602456D001;202302;28;04/02/2023 23:07;04/03/2023 23:12;ML_D
KM;CNO;EL;507184;A;E602457B001;202302;0;04/02/2023 23:07;04/03/2023 23:12;ML_D
KM;CNO;EL;507184;A;E602457C003;202302;0;04/02/2023 23:07;04/03/2023 23:12;ML_D
KM;CNO;EL;507184;A;E602457D001;202302;0;04/02/2023 23:07;04/03/2023 23:12;ML_D
KM;CNO;EL;216561;X;E602454A001;202301;0;04/02/2023 23:07;25/02/2023 23:16;ML_C
KM;BBG;MC;24085;B;K024085B016;201312;8097;05/11/2020 10:49;;ML_B
KM;CNO;EL;216561;X;E602454A001;202302;0;04/02/2023 23:07;04/03/2023 23:12;ML_C
KM;CNO;EL;216561;X;E602454B001;202302;0;04/02/2023 23:07;04/03/2023 23:12;ML_C
KM;CNO;EL;460608;A;E602456A005;202302;10;04/02/2023 23:07;04/03/2023 23:12;ML_D
KM;CNO;MC;380566;A;K380566A028;201801;0;05/11/2020 10:49;;ML_D
KM;NYH;EL;111997;-;E408379A001;201305;40;05/11/2020 10:49;;ML_A
KM;LMC;MC;752415;B;K752415B001;202302;305;11/02/2023 23:00;04/03/2023 23:12;ML_C
KM2;CNO;MI;649276;A;R649276A014;202302;36;11/02/2023 23:00;04/03/2023 23:12;ML_D
KM;LMC;MC;101269;C;K101269C002;202302;1881;11/02/2023 23:00;04/03/2023 23:12;ML_C
KM2;SWT;;620611;R;K620611R003;202302;2406;11/02/2023 23:00;04/03/2023 23:12;ML_C
KM;CNO;MI;111390;A;R111390A002;201401;12;05/11/2020 10:49;;ML_B
KM;UFR;MC;871382;A;K871382A015;202204;290;16/04/2022 22:20;28/05/2022 22:30;ML_E
KM;VIT;MC;439723;A;K439723A007;202204;0;16/04/2022 22:20;28/05/2022 22:30;ML_D
KM;UFR;MC;297723;A;K297723A018;202204;1591;16/04/2022 22:20;28/05/2022 22:30;ML_E
KM2;VLD;MC;777556;A;K777556A004;202204;0;16/04/2022 22:20;28/05/2022 22:30;ML_C
KM2;VIT;MC;253958;D;K253958D002;202204;0;16/04/2022 22:20;28/05/2022 22:30;ML_C
KM;NYH;MC;111997;B;K111997B049;201610;2353;05/11/2020 10:49;;ML_A
KM;NYH;MC;111997;B;K111997B039;201502;3539;05/11/2020 10:49;;ML_A
KM;NYH;MC;111997;B;K111997B022;201307;7;05/11/2020 10:49;;ML_A
KM2;VLD;MC;58388;D;K058388D011;202302;18;11/02/2023 23:00;04/03/2023 23:12;ML_C
KM;NYH;MC;39483;A;K039483A010;202302;630;11/02/2023 23:00;04/03/2023 23:12;ML_E
KM2;VLD;MC;926063;D;K926063D015;202302;2514;11/02/2023 23:00;04/03/2023 23:12;ML_C
KM;SWT;;227379;M;K227379M004;202301;6838;11/02/2023 23:00;25/02/2023 23:16;ML_C
KM2;SWT;;954487;R;K954487R001;202302;757;11/02/2023 23:00;04/03/2023 23:12;ML_C
KM;BKR;MC;183916;A;K183916A007;202204;0;16/04/2022 22:20;28/05/2022 22:30;ML_C
KM2;VLD;MC;782557;D;K782557D003;202204;6112;16/04/2022 22:20;28/05/2022 22:30;ML_C
KM;TC2;MC;146290;R;K146290R006;202204;0;16/04/2022 22:20;28/05/2022 22:30;ML_C
KM;VIT;MC;94665;A;K094665A056;201610;866;05/11/2020 10:49;;ML_D
KM;SY2;MC;283482;G;K283482G003;202204;8081;16/04/2022 22:20;28/05/2022 22:30;ML_C
KM;SY2;MC;227379;K;K227379K001;202204;5811;16/04/2022 22:20;28/05/2022 22:30;ML_C
KM2;VIT;MC;263856;D;K263856D003;202204;0;16/04/2022 22:20;28/05/2022 22:30;ML_C
KM;VLD;MC;350133;A;K350133A032;202204;83;16/04/2022 22:20;28/05/2022 22:30;ML_E
KM;NYH;MC;790079;A;K790079A002;202204;298;16/04/2022 22:20;28/05/2022 22:30;ML_E
KM2;BKR;MC;328874;A;K328874A017;202204;0;16/04/2022 22:20;28/05/2022 22:30;ML_D
KM;CHO;MC;940360;A;K940360A024;202302;1381;11/02/2023 22:58;04/03/2023 23:12;ML_D
KM2;CNO;MC;551297;N;K551297N001;202302;1432;11/02/2023 22:58;04/03/2023 23:12;ML_C
KM;CNO;EL;460608;A;E602456A006;202302;28;11/02/2023 22:58;04/03/2023 23:12;ML_D
KM;NYH;MC;400882;A;K400882A023;202204;2872;09/04/2022 22:21;28/05/2022 22:30;ML_D
KM2;VIT;MC;444057;N;K444057N003;202204;14483;09/04/2022 22:21;28/05/2022 22:30;ML_C
KM2;BKR;MC;923382;D;K923382D002;202204;13079;09/04/2022 22:21;28/05/2022 22:30;ML_C
KM;OLS;EL;429093;D;E602775BA01;202302;5;11/02/2023 23:00;04/03/2023 23:12;ML_C
KM;CNO;MC;380566;A;K380566A032;201712;17119;05/11/2020 10:49;;ML_D
KM;UFR;EL;151206;-;E408349BA02;201304;80;05/11/2020 10:49;;ML_B
KM;BKR;EL;151206;K;E408454L001;201510;41;05/11/2020 10:49;;ML_B
KM;BKR;MC;151206;K;K151206K002;201603;6994;05/11/2020 10:49;;ML_B
KM;UFR;MI;169622;A;R169622A005;201307;17;05/11/2020 10:49;;ML_B
KM;UFR;MC;169622;A;K169622A016;201504;689;05/11/2020 10:49;;ML_B
KM;UFR;MC;169622;A;K169622A002;201309;9;05/11/2020 10:49;;ML_B
KM;UFR;MC;169622;A;K169622A011;201412;1725;05/11/2020 10:49;;ML_B
KM;CNO;MC;348563;B;K348563B017;202301;0;04/02/2023 22:56;25/02/2023 23:16;ML_E
KM;VIT;MC;177160;A;K177160A001;201702;0;05/11/2020 10:49;;ML_D
KM;UFR;MC;265273;R;K265273R043;201504;7327;05/11/2020 10:49;;ML_B
KM;NYH;EL;573500;A;E602468B003;202301;60;04/02/2023 22:56;25/02/2023 23:16;ML_D
KM;CNO;MC;195027;B;K195027B011;202302;1345;04/02/2023 22:56;04/03/2023 23:12;ML_D
KM;VLD;MC;153632;B;K153632B002;201311;2088;05/11/2020 10:49;;ML_A
KM A;UFR;MC;151206;C;K151206C040;201608;1810;05/11/2020 10:49;;ML_B
KM;UFR;MC;151206;C;K151206C040;201608;1810;05/11/2020 10:49;;ML_B
KM;BKR;MC;151206;K;K151206K002;201508;119;05/11/2020 10:49;;ML_B
KM;UFR;MC;151206;C;K151206C005;201310;7192;05/11/2020 10:49;;ML_B
KM;UFR;MC;151206;C;K151206C006;201310;1936;05/11/2020 10:49;;ML_B
KM;BKR;MC;151206;K;K151206K004;201606;4;05/11/2020 10:49;;ML_B
KM;UFR;MC;151206;C;K151206C022;201501;6677;05/11/2020 10:49;;ML_B
KM;BKR;MC;151206;C;K151206C028;201509;4376;05/11/2020 10:49;;ML_B
KM;VLD;MC;255933;G;K255933G005;201303;1195;05/11/2020 10:49;;ML_B
KM;NYH;MC;255933;D;K255933D007;201412;2003;05/11/2020 10:49;;ML_B
KM;VLD;MC;255933;F;K255933F012;201408;10506;05/11/2020 10:49;;ML_B
KM;VLD;MC;255933;F;K255933F005;201312;1928;05/11/2020 10:49;;ML_B
KM;VLD;MC;255933;F;K255933F015;201505;9316;05/11/2020 10:49;;ML_B
KM;VLD;MC;255933;F;K255933F020;201509;11654;05/11/2020 10:49;;ML_B
KM;VLD;MC;255933;F;K255933F012;201410;9703;05/11/2020 10:49;;ML_B
KM;NYH;MC;255933;R;K255933R005;201310;1815;05/11/2020 10:49;;ML_B
KM;NYH;MC;260192;B;K260192B047;201602;6272;05/11/2020 10:49;;ML_A
KM;VLD;MC;260192;C;K260192C011;201512;244;05/11/2020 10:49;;ML_B
KM;NYH;MC;260192;B;K260192B035;201407;551;05/11/2020 10:49;;ML_A
KM;BKR;MI;248424;A;R248424A001;201610;15;05/11/2020 10:49;;ML_D
KM;VIT;;331863;A;K331863A001;201703;678;05/11/2020 10:49;;ML_D
KM;VLD;MC;265273;R;K265273R041;201502;7002;05/11/2020 10:49;;ML_B
KM;UFR;MC;265273;R;K265273R026;201304;13401;05/11/2020 10:49;;ML_B
KM;NYH;MC;260192;B;K260192B041;201411;1195;05/11/2020 10:49;;ML_A
KM2;OLS;MC;54188;D;K054188D002;202301;182;04/02/2023 22:56;25/02/2023 23:16;ML_C
KM2;OLS;MC;54188;D;K054188D002;202302;1762;04/02/2023 22:56;04/03/2023 23:12;ML_C
KM2;VLD;MC;782557;D;K782557D010;202302;8783;04/02/2023 22:56;04/03/2023 23:12;ML_C
KM;VLD;EL;433989;A;E602455BA01;202302;60;04/02/2023 22:56;04/03/2023 23:12;ML_D
KM2;CNO;MC;444057;N;K444057N006;202302;42;04/02/2023 22:56;04/03/2023 23:12;ML_C
KM;VLD;MC;322584;E;K322584E035;201502;25002;05/11/2020 10:49;;ML_B
KM;BBG;MC;322584;E;K322584E030;201412;10410;05/11/2020 10:49;;ML_B
KM A;UFR;MC;318052;R;K318052R015;201406;1538;05/11/2020 10:49;;ML_B
KM;UFR;MC;318052;R;K318052R015;201406;1538;05/11/2020 10:49;;ML_B
KM;VLD;EL;322584;C;E190936DF02;201306;13;05/11/2020 10:49;;ML_A
KM;CNO;MC;4481;A;K004481A001;201712;4437;05/11/2020 10:49;;ML_C
KM;NYH;MC;184228;B;K184228B011;201406;1810;05/11/2020 10:49;;ML_B
KM;NYH;MC;184228;B;K184228B015;201506;2270;05/11/2020 10:49;;ML_B
KM;NYH;MC;196370;A;K196370A030;201501;2233;05/11/2020 10:49;;ML_A
KM;NYH;MC;196370;A;K196370A013;201308;2502;05/11/2020 10:49;;ML_A
KM;NYH;MC;223971;A;K223971A004;201303;1475;05/11/2020 10:49;;ML_A
KM;NYH;MC;223971;A;K223971A010;201604;429;05/11/2020 10:49;;ML_A
KM;BBG;MI;215776;R;R215776R002;201303;10;05/11/2020 10:49;;ML_B
KM;UFR;MC;215776;R;K215776R065;201506;5920;05/11/2020 10:49;;ML_B
KM;UFR;MC;215776;R;K215776R055;201406;8951;05/11/2020 10:49;;ML_B
KM;NYH;MC;206686;A;K206686A029;201603;2004;05/11/2020 10:49;;ML_A
KM;NYH;MC;206686;A;K206686A015;201311;1724;05/11/2020 10:49;;ML_A
KM;NYH;MC;206686;A;K206686A024;201503;1226;05/11/2020 10:49;;ML_A
KM;UFR;MI;214952;B;R214952B002;201304;24;05/11/2020 10:49;;ML_B
KM;CNO;MC;607946;S;K607946S002;201712;0;05/11/2020 10:49;;ML_D
KM;CNO;MI;557842;A;R557842A004;201712;0;05/11/2020 10:49;;ML_B
KM;UFR;MC;377655;D;K377655D008;201305;9642;05/11/2020 10:49;;ML_B
KM;UFR;MC;377655;D;K377655D007;201302;10154;05/11/2020 10:49;;ML_B
KM;BBG;MC;314678;R;K314678R062;201303;35868;05/11/2020 10:49;;ML_B
KM;VLD;MC;314678;R;K314678R144;201511;7970;05/11/2020 10:49;;ML_B
KM;CNO;MC;314678;R;K314678R064;201303;16352;05/11/2020 10:49;;ML_B
